State,Coverage,Education,Effective To Date,EmploymentStatus,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Policies,Policy Type,Policy,Renew Offer Type,Total Claim Amount,Vehicle Class,Vehicle Size,Customer Lifetime Value
Oregon,Basic,Bachelor,1/17/2011,Employed,F,24599,Rural,Married,64,12,50,2,Corporate Auto,Corporate L2,Offer2,42.920271,Four-Door Car,Medsize,7463.139377
Nevada,Basic,High School or Below,2/6/2011,Medical Leave,M,25049,Suburban,Married,67,14,7,1,Personal Auto,Personal L3,Offer2,454.245098,Two-Door Car,Medsize,2566.867823
California,Basic,College,1/5/2011,Medical Leave,M,28855,Suburban,Married,101,12,59,1,Personal Auto,Personal L2,Offer3,647.442031,SUV,Medsize,3945.241604
Oregon,Basic,College,2/27/2011,Employed,M,51148,Urban,Married,72,9,1,7,Personal Auto,Personal L2,Offer2,308.981664,Four-Door Car,Medsize,5710.333115
California,Premium,High School or Below,1/14/2011,Employed,F,66140,Suburban,Married,101,11,21,3,Corporate Auto,Corporate L2,Offer1,484.8,Four-Door Car,Small,8162.617053
Oregon,Basic,High School or Below,2/19/2011,Employed,M,57749,Suburban,Single,74,31,21,1,Personal Auto,Personal L2,Offer1,355.2,Two-Door Car,Medsize,2872.051273
Washington,Extended,Bachelor,1/21/2011,Disabled,F,13789,Suburban,Divorced,79,8,49,1,Personal Auto,Personal L3,Offer4,379.2,Four-Door Car,Medsize,3041.791561
Arizona,Basic,Bachelor,1/26/2011,Medical Leave,M,14072,Suburban,Divorced,71,13,3,2,Personal Auto,Personal L3,Offer1,511.2,Four-Door Car,Medsize,24127.50402
Nevada,Basic,Bachelor,2/24/2011,Unemployed,F,0,Suburban,Single,73,4,44,1,Corporate Auto,Corporate L3,Offer1,554.376763,Four-Door Car,Medsize,2450.190996
California,Basic,Bachelor,2/5/2011,Disabled,F,17870,Suburban,Married,61,30,91,1,Corporate Auto,Corporate L2,Offer2,439.2,Four-Door Car,Medsize,2392.10789
Oregon,Basic,College,1/29/2011,Employed,M,97541,Suburban,Married,72,22,1,3,Personal Auto,Personal L3,Offer2,389.185006,Four-Door Car,Large,5802.065978
California,Premium,Bachelor,2/28/2011,Unemployed,F,0,Suburban,Single,111,15,47,1,Personal Auto,Personal L3,Offer1,799.2,Four-Door Car,Small,3946.372085
Washington,Extended,Master,2/12/2011,Disabled,F,10511,Urban,Married,139,33,64,1,Corporate Auto,Corporate L1,Offer1,516.237951,SUV,Medsize,5346.916576
Arizona,Premium,College,2/2/2011,Employed,F,86584,Suburban,Single,111,33,54,2,Personal Auto,Personal L3,Offer1,532.8,Four-Door Car,Large,12902.56014
Oregon,Extended,Master,2/7/2011,Employed,F,75690,Suburban,Married,80,17,44,1,Personal Auto,Personal L3,Offer2,384,Four-Door Car,Small,3235.360468
Arizona,Basic,College,2/28/2011,Employed,M,23158,Suburban,Married,63,4,6,1,Personal Auto,Personal L2,Offer4,322.294043,Four-Door Car,Small,2454.58354
Nevada,Extended,High School or Below,1/22/2011,Employed,M,65999,Urban,Married,237,1,14,6,Corporate Auto,Corporate L2,Offer2,615.927769,Luxury SUV,Medsize,18975.45611
California,Basic,Bachelor,1/25/2011,Unemployed,M,0,Urban,Married,65,19,56,3,Personal Auto,Personal L3,Offer1,308.15089,Four-Door Car,Medsize,4715.321344
Washington,Basic,Bachelor,1/18/2011,Employed,M,54500,Suburban,Married,63,28,17,6,Corporate Auto,Corporate L2,Offer1,302.4,Two-Door Car,Small,5018.885233
Oregon,Basic,Bachelor,2/13/2011,Employed,F,37260,Rural,Married,62,19,42,8,Corporate Auto,Corporate L1,Offer3,15.437681,Four-Door Car,Medsize,4932.916345
Arizona,Basic,High School or Below,1/15/2011,Employed,F,68987,Urban,Married,71,11,40,6,Personal Auto,Personal L1,Offer1,204.475147,Four-Door Car,Medsize,5744.229745
California,Premium,Bachelor,1/8/2011,Employed,M,42305,Suburban,Married,117,10,62,2,Personal Auto,Personal L3,Offer1,561.6,Four-Door Car,Small,13891.73567
Oregon,Extended,Master,2/6/2011,Employed,F,65706,Suburban,Married,91,19,86,8,Personal Auto,Personal L3,Offer2,436.8,Four-Door Car,Small,7380.976717
Oregon,Extended,Bachelor,1/25/2011,Unemployed,M,0,Suburban,Single,90,7,79,1,Personal Auto,Personal L2,Offer3,648,Two-Door Car,Small,3090.034104
Arizona,Basic,High School or Below,2/7/2011,Employed,M,53243,Rural,Divorced,66,4,15,1,Personal Auto,Personal L3,Offer1,157.397849,Four-Door Car,Medsize,2521.633095
Nevada,Basic,High School or Below,1/18/2011,Unemployed,F,0,Suburban,Married,70,7,1,1,Corporate Auto,Corporate L3,Offer3,484.318536,Two-Door Car,Medsize,2652.061785
Oregon,Basic,College,1/11/2011,Employed,F,50071,Rural,Single,71,3,32,1,Corporate Auto,Corporate L3,Offer2,18.918935,Two-Door Car,Medsize,2771.045031
California,Extended,Bachelor,1/28/2011,Employed,F,60021,Suburban,Married,99,12,28,1,Personal Auto,Personal L2,Offer2,882.871945,Four-Door Car,Small,3939.00637
Arizona,Basic,High School or Below,2/8/2011,Employed,M,43244,Suburban,Married,103,15,16,2,Personal Auto,Personal L2,Offer4,494.4,Sports Car,Medsize,12231.87968
Washington,Basic,College,2/23/2011,Employed,M,92834,Suburban,Married,61,15,56,1,Special Auto,Special L2,Offer2,292.8,Four-Door Car,Large,2443.665166
Oregon,Premium,Doctor,1/25/2011,Disabled,F,10105,Rural,Married,172,5,4,3,Personal Auto,Personal L2,Offer1,0.517753,SUV,Medsize,12819.10289
Arizona,Basic,Bachelor,1/31/2011,Unemployed,M,0,Suburban,Single,73,7,57,5,Personal Auto,Personal L3,Offer3,579.165954,Four-Door Car,Medsize,4468.510542
Oregon,Basic,High School or Below,1/2/2011,Employed,F,23218,Suburban,Single,71,7,10,4,Personal Auto,Personal L2,Offer4,447.79344,Two-Door Car,Medsize,5514.344018
California,Extended,Bachelor,2/7/2011,Unemployed,F,0,Suburban,Married,92,11,77,1,Corporate Auto,Corporate L2,Offer2,529.624084,Four-Door Car,Medsize,3343.875326
Arizona,Basic,High School or Below,1/18/2011,Unemployed,F,0,Suburban,Married,62,11,56,1,Personal Auto,Personal L2,Offer4,313.023175,Four-Door Car,Medsize,2294.478927
Oregon,Basic,College,1/17/2011,Employed,M,24804,Suburban,Married,104,1,28,2,Personal Auto,Personal L2,Offer1,593.830288,SUV,Small,36707.42639
California,Basic,Bachelor,1/11/2011,Employed,F,33190,Suburban,Divorced,106,18,95,2,Corporate Auto,Corporate L1,Offer1,508.8,SUV,Medsize,33473.34946
Nevada,Basic,High School or Below,2/21/2011,Employed,F,36014,Rural,Married,69,4,40,2,Special Auto,Special L1,Offer4,173.956072,Four-Door Car,Medsize,7983.431709
Washington,Basic,Bachelor,2/16/2011,Employed,M,29834,Suburban,Single,64,19,44,3,Personal Auto,Personal L3,Offer4,307.2,Four-Door Car,Medsize,4854.745666
California,Premium,Bachelor,1/17/2011,Disabled,M,16701,Suburban,Married,113,20,26,1,Personal Auto,Personal L2,Offer1,831.625979,Four-Door Car,Small,4293.997319
Arizona,Extended,College,2/5/2011,Employed,F,46623,Suburban,Divorced,91,1,53,3,Corporate Auto,Corporate L3,Offer3,436.8,Four-Door Car,Small,7164.395543
California,Basic,College,2/13/2011,Employed,M,64749,Urban,Married,64,24,59,2,Special Auto,Special L2,Offer2,302.56519,Four-Door Car,Medsize,7619.5158
Arizona,Basic,High School or Below,2/23/2011,Unemployed,F,0,Suburban,Married,101,29,12,1,Personal Auto,Personal L2,Offer1,484.8,SUV,Small,3958.002823
Oregon,Extended,High School or Below,1/28/2011,Disabled,F,16969,Suburban,Divorced,124,34,47,1,Personal Auto,Personal L3,Offer1,704.768111,SUV,Medsize,4499.493252
Oregon,Premium,Master,2/28/2011,Disabled,F,11621,Suburban,Divorced,108,4,98,1,Personal Auto,Personal L1,Offer1,518.4,Four-Door Car,Medsize,4059.567414
Arizona,Basic,Bachelor,1/2/2011,Retired,M,17622,Suburban,Divorced,65,1,36,3,Personal Auto,Personal L1,Offer1,312,Four-Door Car,Medsize,4458.113369
California,Premium,Bachelor,1/22/2011,Medical Leave,F,11489,Suburban,Married,105,4,50,6,Personal Auto,Personal L3,Offer1,504,Two-Door Car,Small,8110.333139
Oregon,Extended,Bachelor,1/15/2011,Unemployed,M,0,Suburban,Single,94,20,53,1,Personal Auto,Personal L3,Offer1,863.327324,Two-Door Car,Small,3339.764873
California,Basic,High School or Below,1/27/2011,Employed,F,66525,Rural,Married,100,0,86,2,Personal Auto,Personal L3,Offer1,104.331355,SUV,Medsize,24261.01777
Arizona,Basic,Bachelor,1/23/2011,Unemployed,F,0,Suburban,Single,63,21,28,2,Personal Auto,Personal L3,Offer3,676.391482,Four-Door Car,Large,6613.973653
Washington,Basic,College,1/31/2011,Employed,M,33663,Suburban,Married,73,29,71,1,Personal Auto,Personal L3,Offer3,350.4,Four-Door Car,Medsize,2930.693543
Oregon,Basic,College,1/26/2011,Employed,F,22547,Suburban,Divorced,112,7,60,3,Corporate Auto,Corporate L3,Offer1,537.6,SUV,Medsize,8672.194272
Arizona,Extended,High School or Below,1/10/2011,Employed,F,61486,Urban,Married,97,5,65,2,Personal Auto,Personal L3,Offer4,465.258644,Two-Door Car,Small,11638.66926
Oregon,Extended,Bachelor,1/27/2011,Unemployed,F,0,Suburban,Divorced,95,13,20,5,Personal Auto,Personal L3,Offer1,456,Two-Door Car,Large,6846.150323
California,Premium,College,1/9/2011,Disabled,F,29879,Suburban,Married,102,17,0,2,Personal Auto,Personal L3,Offer3,500.254235,Four-Door Car,Medsize,11727.77648
Oregon,Basic,High School or Below,2/24/2011,Employed,M,93011,Rural,Divorced,113,17,12,2,Personal Auto,Personal L3,Offer4,281.451042,SUV,Medsize,22643.83478
Oregon,Basic,Master,2/11/2011,Employed,M,65186,Rural,Married,65,29,27,1,Personal Auto,Personal L2,Offer2,5.434505,Two-Door Car,Large,2614.474305
Oregon,Basic,Master,2/12/2011,Medical Leave,M,26840,Suburban,Married,64,1,47,1,Personal Auto,Personal L1,Offer1,307.2,Four-Door Car,Medsize,2451.752695
Oregon,Basic,Bachelor,2/4/2011,Unemployed,M,0,Suburban,Single,104,30,3,5,Personal Auto,Personal L3,Offer1,982.399613,Sports Car,Medsize,6781.270203
Oregon,Basic,Bachelor,1/18/2011,Employed,M,75644,Suburban,Divorced,65,5,68,9,Personal Auto,Personal L3,Offer2,467.803638,Two-Door Car,Medsize,4974.801539
Oregon,Basic,Bachelor,2/11/2011,Employed,M,38984,Suburban,Married,73,27,38,2,Personal Auto,Personal L3,Offer2,350.4,Four-Door Car,Small,8591.604933
Oregon,Basic,High School or Below,2/1/2011,Employed,F,71811,Rural,Single,71,17,48,6,Personal Auto,Personal L1,Offer2,29.03416,Four-Door Car,Medsize,5592.161392
Nevada,Basic,College,2/15/2011,Employed,M,20961,Suburban,Married,67,20,33,2,Personal Auto,Personal L1,Offer2,321.6,Four-Door Car,Medsize,8009.472833
Washington,Extended,College,2/6/2011,Employed,M,38923,Rural,Married,99,6,83,2,Personal Auto,Personal L3,Offer1,115.728852,Four-Door Car,Medsize,11318.08982
California,Basic,Bachelor,2/27/2011,Employed,M,61321,Rural,Single,186,0,30,2,Personal Auto,Personal L3,Offer2,427.63121,Luxury Car,Small,58166.55351
California,Extended,College,1/26/2011,Unemployed,F,0,Rural,Single,77,20,26,2,Personal Auto,Personal L3,Offer3,25.807685,Two-Door Car,Large,8025.229358
California,Basic,High School or Below,2/26/2011,Employed,M,51066,Suburban,Single,74,23,0,8,Personal Auto,Personal L3,Offer2,787.993313,Four-Door Car,Medsize,5780.182197
California,Basic,Doctor,1/27/2011,Employed,M,34378,Suburban,Married,102,12,54,1,Personal Auto,Personal L1,Offer3,489.6,SUV,Medsize,4118.539113
Nevada,Basic,Master,1/16/2011,Employed,M,43072,Suburban,Married,63,35,15,1,Personal Auto,Personal L3,Offer2,302.4,Four-Door Car,Large,2523.07015
Oregon,Extended,College,1/27/2011,Disabled,F,25222,Suburban,Single,90,28,69,3,Personal Auto,Personal L3,Offer2,475.623251,Four-Door Car,Small,6554.216396
Washington,Basic,High School or Below,2/28/2011,Employed,M,36765,Suburban,Married,66,15,32,2,Personal Auto,Personal L2,Offer1,320.849072,Four-Door Car,Medsize,7703.397294
California,Extended,College,1/25/2011,Retired,M,23091,Suburban,Married,96,28,90,5,Personal Auto,Personal L1,Offer1,460.8,Four-Door Car,Medsize,5926.729379
California,Basic,Bachelor,1/1/2011,Employed,F,48269,Urban,Married,69,3,79,1,Corporate Auto,Corporate L2,Offer3,282.151207,Four-Door Car,Medsize,2683.470677
Oregon,Basic,Bachelor,2/1/2011,Employed,F,32720,Suburban,Divorced,67,13,12,1,Personal Auto,Personal L2,Offer3,321.6,Four-Door Car,Medsize,2695.182419
California,Extended,College,2/19/2011,Employed,M,20396,Suburban,Married,76,15,60,4,Personal Auto,Personal L3,Offer1,364.8,Four-Door Car,Medsize,6047.02516
Oregon,Premium,College,1/27/2011,Medical Leave,M,21513,Suburban,Married,119,21,81,2,Personal Auto,Personal L3,Offer2,679.827592,Two-Door Car,Small,13171.01282
Washington,Extended,Bachelor,2/27/2011,Employed,F,72540,Suburban,Married,88,7,3,2,Corporate Auto,Corporate L3,Offer2,631.743039,Two-Door Car,Medsize,10656.88195
Oregon,Basic,Bachelor,1/17/2011,Employed,F,80744,Rural,Married,63,24,84,1,Corporate Auto,Corporate L3,Offer1,11.879037,Four-Door Car,Medsize,2527.653796
Oregon,Basic,Bachelor,2/10/2011,Employed,M,52822,Suburban,Married,67,23,88,1,Corporate Auto,Corporate L1,Offer1,350.529033,Two-Door Car,Small,2672.095756
California,Extended,High School or Below,1/24/2011,Unemployed,F,0,Suburban,Single,77,8,10,9,Personal Auto,Personal L2,Offer1,863.3947,Four-Door Car,Medsize,5313.294035
Oregon,Basic,Bachelor,2/24/2011,Employed,F,69738,Suburban,Married,74,2,26,2,Personal Auto,Personal L3,Offer1,492.127532,Four-Door Car,Large,20946.19251
Arizona,Basic,Master,2/15/2011,Medical Leave,F,17780,Rural,Married,109,12,18,9,Personal Auto,Personal L3,Offer1,132.588288,SUV,Medsize,8375.353929
California,Basic,Bachelor,2/16/2011,Medical Leave,M,18107,Suburban,Married,62,29,11,8,Personal Auto,Personal L2,Offer1,297.6,Four-Door Car,Medsize,4801.661503
Arizona,Basic,Bachelor,1/22/2011,Employed,F,57740,Urban,Married,74,30,87,9,Personal Auto,Personal L1,Offer3,269.905129,Four-Door Car,Medsize,5745.94334
Oregon,Extended,College,2/25/2011,Employed,M,32627,Suburban,Married,76,11,60,7,Personal Auto,Personal L2,Offer1,380.036697,Two-Door Car,Small,6066.115969
California,Basic,College,1/11/2011,Unemployed,F,0,Suburban,Married,107,3,65,3,Personal Auto,Personal L3,Offer1,513.6,SUV,Medsize,8002.308333
California,Basic,College,1/31/2011,Unemployed,M,0,Suburban,Single,70,24,10,1,Personal Auto,Personal L1,Offer1,425.266308,Four-Door Car,Medsize,2393.915369
Oregon,Basic,Bachelor,1/12/2011,Employed,M,65795,Rural,Single,62,2,85,3,Corporate Auto,Corporate L3,Offer3,49.011099,Two-Door Car,Medsize,4762.8179
California,Premium,College,2/16/2011,Employed,M,60475,Suburban,Married,107,9,18,1,Personal Auto,Personal L3,Offer2,513.6,Four-Door Car,Medsize,4330.38602
California,Extended,High School or Below,2/9/2011,Unemployed,F,0,Suburban,Single,130,28,88,4,Personal Auto,Personal L3,Offer1,936,SUV,Medsize,9402.729769
Oregon,Extended,Bachelor,1/19/2011,Employed,F,41837,Rural,Married,88,29,93,9,Personal Auto,Personal L3,Offer1,142.062768,Four-Door Car,Small,6966.694527
California,Basic,Bachelor,1/4/2011,Employed,F,32303,Rural,Married,65,13,34,2,Personal Auto,Personal L1,Offer3,45.152521,Four-Door Car,Medsize,7694.064293
Oregon,Basic,High School or Below,1/9/2011,Unemployed,M,0,Suburban,Married,117,5,89,3,Personal Auto,Personal L1,Offer1,561.6,SUV,Medsize,8717.561149
California,Basic,Bachelor,1/27/2011,Employed,F,40531,Rural,Married,74,17,32,9,Personal Auto,Personal L3,Offer1,30.567357,Two-Door Car,Medsize,5928.748528
Oregon,Basic,College,2/14/2011,Employed,M,79898,Urban,Married,62,5,86,1,Corporate Auto,Corporate L1,Offer4,271.606799,Four-Door Car,Medsize,2452.977288
California,Extended,College,2/27/2011,Employed,M,56398,Suburban,Married,85,4,18,7,Personal Auto,Personal L3,Offer4,408,Four-Door Car,Small,6701.571657
Washington,Extended,High School or Below,2/12/2011,Employed,M,35257,Suburban,Divorced,98,16,2,8,Corporate Auto,Corporate L2,Offer2,470.4,Four-Door Car,Small,7556.24034
Arizona,Basic,College,2/26/2011,Employed,M,27804,Suburban,Married,109,19,54,7,Personal Auto,Personal L3,Offer2,784.8,SUV,Medsize,8492.6988
Oregon,Basic,Bachelor,2/20/2011,Employed,M,45506,Suburban,Single,66,16,32,2,Personal Auto,Personal L3,Offer1,316.8,Four-Door Car,Medsize,7713.494046
Washington,Basic,High School or Below,2/2/2011,Employed,M,65196,Suburban,Married,67,0,54,2,Personal Auto,Personal L2,Offer4,396.082036,Four-Door Car,Medsize,24084.5352
California,Basic,High School or Below,2/15/2011,Unemployed,M,0,Suburban,Married,102,11,70,3,Corporate Auto,Corporate L2,Offer1,489.6,SUV,Medsize,7290.069769
Oregon,Extended,High School or Below,2/18/2011,Retired,M,20993,Suburban,Divorced,133,35,90,1,Personal Auto,Personal L3,Offer2,638.4,SUV,Medsize,4772.943848
Arizona,Extended,High School or Below,1/21/2011,Employed,M,37839,Suburban,Married,86,35,77,9,Personal Auto,Personal L3,Offer2,465.633954,Two-Door Car,Medsize,6806.491395
California,Basic,Bachelor,1/15/2011,Employed,F,92711,Suburban,Single,62,24,10,1,Personal Auto,Personal L2,Offer3,368.400146,Two-Door Car,Medsize,2469.781334
California,Extended,College,2/5/2011,Employed,F,74665,Urban,Married,78,10,90,1,Corporate Auto,Corporate L2,Offer2,236.902001,Four-Door Car,Medsize,3103.923041
Washington,Extended,College,2/24/2011,Unemployed,M,0,Suburban,Married,83,26,89,1,Personal Auto,Personal L2,Offer3,582.679087,Two-Door Car,Medsize,2981.875575
California,Basic,Bachelor,1/5/2011,Employed,M,46833,Rural,Married,112,6,3,9,Personal Auto,Personal L3,Offer1,64.109663,Sports Car,Medsize,8902.737595
Oregon,Basic,High School or Below,1/28/2011,Employed,F,88768,Suburban,Married,68,17,77,7,Personal Auto,Personal L3,Offer3,326.4,Two-Door Car,Small,5499.447223
California,Basic,High School or Below,1/12/2011,Employed,M,28262,Suburban,Single,192,9,77,3,Personal Auto,Personal L3,Offer3,921.6,Luxury SUV,Medsize,15023.59858
Nevada,Basic,Bachelor,2/16/2011,Employed,F,33555,Rural,Married,63,17,11,1,Personal Auto,Personal L3,Offer1,101.89645,Four-Door Car,Medsize,2509.107875
Oregon,Premium,College,1/3/2011,Employed,M,42780,Suburban,Divorced,113,10,27,2,Personal Auto,Personal L2,Offer1,542.4,Four-Door Car,Medsize,31221.7481
Oregon,Extended,Master,2/7/2011,Employed,F,58850,Rural,Single,78,20,26,1,Personal Auto,Personal L3,Offer2,143.747794,Four-Door Car,Medsize,3133.503432
Arizona,Extended,College,1/13/2011,Employed,M,21880,Urban,Married,97,29,37,1,Special Auto,Special L2,Offer1,424.077159,Four-Door Car,Medsize,3837.451863
Oregon,Basic,College,1/3/2011,Retired,M,25251,Suburban,Divorced,66,13,43,2,Personal Auto,Personal L2,Offer2,316.8,Four-Door Car,Medsize,11790.49617
Washington,Basic,Master,2/17/2011,Unemployed,F,0,Rural,Married,69,9,12,2,Personal Auto,Personal L1,Offer2,2.704934,Four-Door Car,Medsize,7838.068321
Arizona,Basic,High School or Below,1/21/2011,Employed,M,24188,Suburban,Married,109,14,82,1,Personal Auto,Personal L3,Offer1,523.2,Sports Car,Medsize,4305.808345
Nevada,Basic,Bachelor,1/26/2011,Employed,F,41611,Rural,Married,74,14,8,8,Special Auto,Special L2,Offer1,113.801497,Four-Door Car,Medsize,5973.976904
Oregon,Basic,Bachelor,1/31/2011,Employed,F,28406,Urban,Married,72,16,35,4,Personal Auto,Personal L3,Offer1,192.87572,Four-Door Car,Medsize,5670.442396
Arizona,Premium,College,1/2/2011,Employed,M,69833,Suburban,Married,118,32,99,1,Personal Auto,Personal L3,Offer1,828.662719,Four-Door Car,Small,4731.749346
Arizona,Basic,High School or Below,2/7/2011,Unemployed,F,0,Suburban,Single,74,15,91,2,Corporate Auto,Corporate L2,Offer1,532.8,Four-Door Car,Small,8026.379641
Arizona,Basic,High School or Below,1/26/2011,Unemployed,M,0,Suburban,Single,117,6,1,1,Personal Auto,Personal L3,Offer1,975.107098,SUV,Medsize,4022.963529
Oregon,Basic,High School or Below,1/11/2011,Employed,F,80536,Rural,Married,119,5,83,3,Special Auto,Special L2,Offer1,53.798708,Sports Car,Medsize,9618.310865
Washington,Basic,College,1/15/2011,Unemployed,F,0,Suburban,Single,63,2,5,1,Personal Auto,Personal L2,Offer2,606.642452,Four-Door Car,Small,2274.775451
Oregon,Extended,College,2/8/2011,Employed,F,97732,Urban,Married,79,0,70,2,Personal Auto,Personal L3,Offer4,289.9122,Four-Door Car,Medsize,9552.926922
Arizona,Extended,Bachelor,1/11/2011,Employed,F,61222,Urban,Single,89,20,55,2,Special Auto,Special L3,Offer3,392.604371,Four-Door Car,Small,10388.55323
Oregon,Basic,College,1/9/2011,Unemployed,M,0,Suburban,Single,74,7,20,1,Personal Auto,Personal L1,Offer4,721.242206,Two-Door Car,Large,2470.121222
Arizona,Premium,Master,2/4/2011,Employed,M,50335,Urban,Married,140,9,54,1,Personal Auto,Personal L2,Offer1,456.52385,SUV,Medsize,5619.068508
California,Extended,High School or Below,1/21/2011,Unemployed,F,0,Suburban,Single,127,30,11,6,Personal Auto,Personal L2,Offer3,1087.995426,Sports Car,Medsize,9047.119209
Washington,Premium,High School or Below,2/16/2011,Employed,M,63221,Suburban,Married,168,28,49,1,Corporate Auto,Corporate L3,Offer3,806.4,SUV,Medsize,6692.143668
Oregon,Extended,High School or Below,2/24/2011,Unemployed,F,0,Suburban,Married,96,31,34,1,Personal Auto,Personal L1,Offer1,460.8,Four-Door Car,Large,3731.504584
Nevada,Extended,Bachelor,1/18/2011,Employed,M,64495,Urban,Married,92,34,30,1,Corporate Auto,Corporate L2,Offer4,251.992083,Four-Door Car,Medsize,3660.770258
California,Basic,College,1/30/2011,Unemployed,F,0,Suburban,Married,72,7,75,2,Corporate Auto,Corporate L3,Offer1,345.6,Four-Door Car,Medsize,7928.829252
Arizona,Basic,Bachelor,1/9/2011,Employed,F,28859,Suburban,Divorced,67,24,51,4,Corporate Auto,Corporate L2,Offer1,321.6,Two-Door Car,Medsize,5011.751577
Arizona,Extended,High School or Below,2/1/2011,Employed,F,77330,Rural,Married,99,0,21,3,Personal Auto,Personal L3,Offer2,99.257608,Four-Door Car,Medsize,7988.258292
Oregon,Premium,College,2/28/2011,Unemployed,M,0,Suburban,Married,105,3,92,1,Corporate Auto,Corporate L2,Offer1,504,Four-Door Car,Large,3885.456401
Washington,Basic,Bachelor,1/31/2011,Employed,M,24495,Suburban,Single,70,29,65,1,Personal Auto,Personal L2,Offer4,336,Four-Door Car,Small,2659.337982
Washington,Basic,High School or Below,2/17/2011,Employed,M,95697,Rural,Married,107,29,29,9,Personal Auto,Personal L3,Offer2,178.006524,Sports Car,Medsize,8564.768226
Arizona,Extended,High School or Below,2/12/2011,Disabled,M,26372,Suburban,Married,126,11,7,1,Personal Auto,Personal L3,Offer4,604.8,SUV,Medsize,4885.162511
Arizona,Extended,Bachelor,2/24/2011,Medical Leave,F,17514,Rural,Married,127,2,5,3,Personal Auto,Personal L1,Offer1,8.312729,SUV,Medsize,9753.307106
California,Basic,Bachelor,2/1/2011,Employed,F,89270,Urban,Single,74,17,90,1,Personal Auto,Personal L3,Offer2,316.599228,Four-Door Car,Medsize,2946.153697
California,Basic,High School or Below,2/6/2011,Employed,M,29757,Suburban,Married,65,13,55,1,Personal Auto,Personal L2,Offer2,312,Four-Door Car,Small,2581.110945
Oregon,Extended,College,1/23/2011,Employed,M,51814,Rural,Single,92,28,89,1,Personal Auto,Personal L2,Offer3,56.300724,Four-Door Car,Medsize,3517.385764
Oregon,Extended,Bachelor,1/21/2011,Employed,F,24028,Suburban,Married,82,14,27,2,Personal Auto,Personal L2,Offer2,393.6,Four-Door Car,Small,9743.350113
Arizona,Basic,College,1/20/2011,Retired,M,28142,Suburban,Married,105,18,50,1,Personal Auto,Personal L3,Offer2,701.708239,Sports Car,Medsize,3873.647046
Arizona,Basic,Bachelor,1/6/2011,Employed,F,52705,Rural,Married,64,14,8,2,Personal Auto,Personal L2,Offer1,128.705563,Two-Door Car,Large,7649.28199
